Date,Open,High,Low,Close,Volume
2000-05-01,1452.43,1481.51,1452.43,1468.25,536833333
2000-05-02,1468.25,1468.25,1445.22,1446.29,561944444
2000-05-03,1446.29,1446.29,1398.36,1415.1,550888889
2000-05-04,1415.1,1420.99,1404.94,1409.57,514333333
2000-05-05,1409.57,1436.03,1405.08,1432.63,447500000
2000-05-08,1432.63,1432.63,1417.05,1424.17,437555556
2000-05-09,1424.17,1430.28,1401.85,1412.14,498111111
2000-05-10,1412.14,1412.14,1375.14,1383.05,559111111
2000-05-11,1383.05,1410.26,1383.05,1407.81,529777778
2000-05-12,1407.81,1430.13,1407.81,1420.96,476777778
2000-05-15,1420.96,1452.39,1416.54,1452.36,474777778
2000-05-16,1452.36,1470.4,1450.76,1466.04,530833333
2000-05-17,1466.04,1466.04,1441.67,1447.8,455833333
2000-05-18,1447.8,1458.04,1436.59,1437.21,448833333
2000-05-19,1437.21,1437.21,1401.74,1406.95,474277778
2000-05-22,1406.95,1410.55,1368.73,1400.72,482777778
2000-05-23,1400.72,1403.77,1373.43,1373.86,483277778
2000-05-24,1373.86,1401.75,1361.09,1399.05,640166667
2000-05-25,1399.05,1411.65,1373.93,1381.52,546944444
2000-05-26,1381.52,1391.42,1369.75,1378.02,401444444
2000-05-30,1378.02,1422.45,1378.02,1422.45,469000000
2000-05-31,1422.44,1434.49,1415.5,1420.6,533611111
2000-06-01,1420.6,1448.81,1420.6,1448.81,533388889
2000-06-02,1448.81,1483.23,1448.81,1477.26,645777778
2000-06-05,1477.26,1477.28,1464.68,1467.63,465888889
2000-06-06,1467.63,1471.36,1454.74,1457.84,527833333
2000-06-07,1457.84,1474.64,1455.06,1471.36,474777778
2000-06-08,1471.36,1475.65,1456.49,1461.67,474611111
2000-06-09,1461.67,1472.67,1454.96,1456.95,436666667
2000-06-12,1456.95,1462.93,1445.99,1446,430055556
2000-06-13,1446,1470.42,1442.38,1469.44,519944444
2000-06-14,1469.44,1483.62,1467.71,1470.54,516500000
2000-06-15,1470.54,1482.04,1464.62,1478.73,561888889
2000-06-16,1478.73,1480.77,1460.42,1464.46,694888889
2000-06-19,1464.46,1488.93,1459.05,1486,512055556
2000-06-20,1486,1487.32,1470.18,1475.95,573055556
2000-06-21,1475.95,1482.19,1468,1479.13,560888889
2000-06-22,1479.13,1479.13,1448.03,1452.18,568166667
2000-06-23,1452.18,1459.94,1438.31,1441.48,470888889
2000-06-26,1441.48,1459.66,1441.48,1455.31,493888889
2000-06-27,1455.31,1463.35,1450.55,1450.55,579166667
2000-06-28,1450.55,1467.63,1450.55,1454.82,608388889
2000-06-29,1454.82,1455.14,1434.63,1442.39,617166667
2000-06-30,1442.39,1454.68,1438.71,1454.6,810944444
2000-07-03,1454.6,1469.58,1450.85,1469.54,251055556
2000-07-05,1469.54,1469.54,1442.45,1446.23,566277778
2000-07-06,1446.23,1461.65,1439.56,1456.67,526277778
2000-07-07,1456.67,1484.12,1456.67,1478.9,517611111
2000-07-10,1478.9,1486.56,1474.76,1475.62,465944444
2000-07-11,1475.62,1488.77,1470.48,1480.88,544722222
2000-07-12,1480.88,1497.69,1480.88,1492.92,556222222
2000-07-13,1492.92,1501.39,1489.65,1495.84,570444444
2000-07-14,1495.84,1509.99,1494.56,1509.98,533666667
2000-07-17,1509.98,1517.32,1505.26,1510.49,503333333
2000-07-18,1510.49,1510.49,1491.35,1493.74,504611111
2000-07-19,1493.74,1495.63,1479.92,1481.96,505222222
2000-07-20,1481.96,1501.92,1481.96,1495.57,591444444
2000-07-21,1495.57,1495.57,1477.91,1480.19,537944444
2000-07-24,1480.19,1485.88,1463.8,1464.29,489055556
2000-07-25,1464.29,1476.23,1464.29,1474.47,538555556
2000-07-26,1474.47,1474.47,1452.42,1452.42,686555556
2000-07-27,1452.42,1464.91,1445.33,1449.62,642444444
2000-07-28,1449.62,1456.68,1413.89,1419.89,544444444
2000-07-31,1419.89,1437.65,1418.71,1430.83,529222222
2000-08-01,1430.83,1443.54,1428.96,1438.1,521500000
2000-08-02,1438.1,1451.59,1433.49,1438.7,552500000
2000-08-03,1438.7,1454.19,1425.43,1452.56,608666667
2000-08-04,1452.56,1462.93,1451.31,1462.93,531111111
2000-08-07,1462.93,1480.8,1460.72,1479.32,474888889
2000-08-08,1479.32,1484.52,1472.61,1482.8,551222222
2000-08-09,1482.8,1490.33,1471.16,1472.87,585555556
2000-08-10,1472.87,1475.15,1459.89,1460.25,522666667
2000-08-11,1460.25,1475.72,1453.06,1471.84,464166667
2000-08-14,1471.84,1491.64,1468.56,1491.56,435444444
2000-08-15,1491.56,1493.12,1482.74,1484.43,497722222
2000-08-16,1484.43,1496.09,1475.74,1479.85,516555556
2000-08-17,1479.85,1499.32,1479.85,1496.07,512444444
2000-08-18,1496.07,1499.47,1488.99,1491.72,456333333
2000-08-21,1491.72,1502.84,1491.13,1499.48,406444444
2000-08-22,1499.48,1508.45,1497.42,1498.13,454888889
2000-08-23,1498.13,1507.2,1489.52,1505.97,483888889
2000-08-24,1505.97,1511.16,1501.25,1508.31,465055556
2000-08-25,1508.31,1513.47,1505.09,1506.45,380888889
2000-08-28,1506.45,1523.95,1506.45,1514.09,407555556
2000-08-29,1514.09,1514.81,1505.46,1509.84,442000000
2000-08-30,1509.84,1510.49,1500.09,1502.59,454666667
2000-08-31,1502.59,1525.21,1502.59,1517.68,587000000
2000-09-01,1517.68,1530.09,1515.53,1520.77,426500000
2000-09-05,1520.77,1520.77,1504.21,1507.08,465833333
2000-09-06,1507.08,1512.61,1492.12,1492.25,552833333
2000-09-07,1492.25,1505.34,1492.25,1502.51,547500000
2000-09-08,1502.51,1502.51,1489.88,1494.5,533888889
2000-09-11,1494.5,1506.76,1483.01,1489.26,499611111
2000-09-12,1489.26,1496.93,1479.67,1481.99,550666667
2000-09-13,1481.99,1487.45,1473.61,1484.91,593500000
2000-09-14,1484.91,1494.16,1476.73,1480.87,563333333
2000-09-15,1480.87,1480.96,1460.22,1465.81,704666667
2000-09-18,1465.81,1467.77,1441.92,1444.51,534722222
2000-09-19,1444.51,1461.16,1444.51,1459.9,569388889
2000-09-20,1459.9,1460.49,1430.95,1451.34,613333333
2000-09-21,1451.34,1452.77,1436.3,1449.05,614111111
2000-09-22,1449.05,1449.05,1421.88,1448.72,658611111
2000-09-25,1448.72,1457.42,1435.93,1439.03,545777778
2000-09-26,1439.03,1448.04,1425.25,1427.21,614777778
2000-09-27,1427.21,1437.22,1419.44,1426.57,652611111
2000-09-28,1426.57,1461.69,1425.78,1458.29,670111111
2000-09-29,1458.29,1458.29,1436.29,1436.51,665055556
2000-10-02,1436.52,1445.6,1429.83,1436.23,584000000
2000-10-03,1436.23,1454.82,1425.28,1426.46,610055556
2000-10-04,1426.46,1439.99,1416.31,1434.32,648555556
2000-10-05,1434.32,1444.17,1431.8,1436.28,653388889
2000-10-06,1436.28,1443.3,1397.06,1408.99,638944444
2000-10-09,1408.99,1409.69,1392.48,1402.03,398111111
2000-10-10,1402.03,1408.83,1383.85,1387.02,580000000
2000-10-11,1387.02,1387.02,1349.67,1364.59,770833333
2000-10-12,1364.59,1374.93,1328.06,1329.78,771444444
2000-10-13,1329.78,1374.17,1327.08,1374.17,679944444
2000-10-16,1374.17,1379.48,1365.06,1374.62,558555556
2000-10-17,1374.62,1380.99,1342.34,1349.97,645277778
2000-10-18,1349.97,1356.65,1305.79,1342.13,800944444
2000-10-19,1342.13,1389.93,1342.13,1388.76,721055556
2000-10-20,1388.76,1408.47,1382.19,1396.93,654111111
2000-10-23,1396.93,1406.96,1387.75,1395.78,581555556
2000-10-24,1395.78,1415.64,1388.13,1398.13,643666667
2000-10-25,1398.13,1398.13,1362.21,1364.9,730888889
2000-10-26,1364.9,1372.72,1337.81,1364.44,724333333
2000-10-27,1364.44,1384.57,1364.13,1379.58,603500000
2000-10-30,1379.58,1406.36,1376.86,1398.66,659166667
2000-10-31,1398.66,1432.22,1398.66,1429.4,759111111
2000-11-01,1429.4,1429.6,1410.45,1421.22,670444444
2000-11-02,1421.22,1433.4,1421.22,1428.32,648722222
2000-11-03,1428.32,1433.21,1420.92,1426.69,554277778
2000-11-06,1428.76,1438.46,1427.72,1432.19,517166667
2000-11-07,1432.19,1436.22,1423.26,1431.87,489388889
2000-11-08,1431.87,1437.28,1408.78,1409.28,505166667
2000-11-09,1409.28,1409.28,1369.68,1400.14,617222222
2000-11-10,1400.14,1400.14,1365.97,1365.98,534722222
2000-11-13,1365.98,1365.98,1328.62,1351.26,627388889
2000-11-14,1351.26,1390.06,1351.26,1382.95,621555556
2000-11-15,1382.95,1395.96,1374.75,1389.81,592666667
2000-11-16,1389.81,1394.76,1370.39,1372.32,531277778
2000-11-17,1372.32,1384.85,1355.55,1367.72,594666667
2000-11-20,1367.72,1367.72,1341.67,1342.62,531000000
2000-11-21,1342.62,1355.87,1333.62,1347.35,631722222
2000-11-22,1347.35,1347.35,1321.89,1322.36,535111111
2000-11-24,1322.36,1343.83,1322.36,1341.77,224927778
2000-11-27,1341.77,1362.5,1341.77,1348.97,525611111
2000-11-28,1348.97,1358.81,1334.97,1336.09,571222222
2000-11-29,1336.09,1352.38,1329.28,1341.93,223388889
2000-11-30,1341.91,1341.91,1294.9,1314.95,659183333
2000-12-01,1314.95,1334.67,1307.02,1315.23,664000000
2000-12-04,1315.18,1332.06,1310.23,1324.97,612777778
2000-12-05,1324.97,1376.56,1324.97,1376.54,500166667
2000-12-06,1376.54,1376.54,1346.15,1351.46,777388889
2000-12-07,1351.46,1353.5,1339.26,1343.55,626666667
2000-12-08,1343.55,1380.33,1343.55,1369.89,754611111
2000-12-11,1369.89,1389.05,1364.14,1380.2,668000000
2000-12-12,1380.2,1380.27,1370.27,1371.18,601888889
2000-12-13,1371.18,1385.82,1358.48,1359.99,663944444
2000-12-14,1359.99,1359.99,1340.48,1340.93,589611111
2000-12-15,1340.93,1340.93,1305.38,1312.15,867277778
2000-12-18,1312.15,1332.32,1312.15,1322.74,661055556
2000-12-19,1322.96,1346.44,1305.2,1305.6,736055556
2000-12-20,1305.6,1305.6,1261.16,1264.74,789777778
2000-12-21,1264.74,1285.31,1254.07,1274.86,805500000
2000-12-22,1274.86,1305.97,1274.86,1305.95,603944444
2000-12-26,1305.97,1315.94,1301.64,1315.19,448055556
2000-12-27,1315.19,1332.03,1310.96,1328.92,607055556
2000-12-28,1328.92,1335.93,1325.78,1334.22,564055556
2000-12-29,1334.22,1340.1,1317.51,1320.28,575277778
2001-01-02,1320.28,1320.28,1276.05,1283.27,627444444
2001-01-03,1283.27,1347.76,1274.62,1347.56,1044833333
2001-01-04,1347.56,1350.24,1329.14,1333.34,1183888889
2001-01-05,1333.34,1334.77,1294.95,1298.35,794888889
2001-01-08,1298.35,1298.35,1276.29,1295.86,619722222
2001-01-09,1295.86,1311.72,1295.14,1300.8,661833333
2001-01-10,1300.8,1313.76,1287.28,1313.27,720277778
2001-01-11,1313.27,1332.19,1309.72,1326.82,784000000
2001-01-12,1326.82,1333.21,1311.59,1318.55,708888889
2001-01-16,1318.32,1327.81,1313.33,1326.65,669833333
2001-01-17,1326.65,1346.92,1325.41,1329.47,749500000
2001-01-18,1329.89,1352.71,1327.41,1347.97,802777778
2001-01-19,1347.97,1354.55,1336.74,1342.54,782111111
2001-01-22,1342.54,1353.62,1333.84,1342.9,646666667
2001-01-23,1342.9,1362.9,1339.63,1360.4,684777778
2001-01-24,1360.4,1369.75,1357.28,1364.3,727222222
2001-01-25,1364.3,1367.35,1354.63,1357.51,698888889
2001-01-26,1357.51,1357.51,1342.75,1354.95,610000000
2001-01-29,1354.92,1365.54,1350.36,1364.17,585055556
2001-01-30,1364.17,1375.68,1356.2,1373.73,638777778
2001-01-31,1373.73,1383.37,1364.66,1366.01,719611111
2001-02-01,1366.01,1373.5,1359.34,1373.47,621555556
2001-02-02,1373.47,1376.38,1348.72,1349.47,582444444
2001-02-05,1349.47,1354.56,1344.48,1354.31,562777778
2001-02-06,1354.31,1363.55,1350.04,1352.26,588666667
2001-02-07,1352.26,1352.26,1334.26,1340.89,643500000
2001-02-08,1341.1,1350.32,1332.42,1332.53,615111111
2001-02-09,1332.53,1332.53,1309.98,1314.76,597500000
2001-02-12,1314.76,1330.96,1313.64,1330.31,577277778
2001-02-13,1330.31,1336.62,1317.51,1318.8,597333333
2001-02-14,1318.8,1320.73,1304.72,1315.92,639055556
2001-02-15,1315.92,1331.29,1315.92,1326.61,640944444
2001-02-16,1326.61,1326.61,1293.18,1301.53,698444444
2001-02-20,1301.53,1307.16,1278.44,1278.94,617888889
2001-02-21,1278.94,1282.97,1253.16,1255.27,671388889
2001-02-22,1255.27,1259.94,1228.33,1252.82,758833333
2001-02-23,1252.82,1252.82,1215.44,1245.86,684055556
2001-02-26,1245.86,1267.69,1241.71,1267.65,628222222
2001-02-27,1267.65,1272.76,1252.26,1257.94,618944444
2001-02-28,1257.94,1263.47,1229.65,1239.94,680722222
2001-03-01,1239.94,1241.36,1214.5,1241.23,719388889
2001-03-02,1241.23,1251.01,1219.74,1234.18,718888889
2001-03-05,1234.18,1242.55,1234.04,1241.41,516222222
2001-03-06,1241.41,1267.42,1241.41,1253.8,606555556
2001-03-07,1253.8,1263.86,1253.8,1261.89,629000000
2001-03-08,1261.89,1266.5,1257.6,1264.74,618944444
2001-03-09,1264.74,1264.74,1228.42,1233.42,603277778
2001-03-12,1233.42,1233.42,1176.78,1180.16,682777778
2001-03-13,1180.16,1197.83,1171.5,1197.66,756055556
2001-03-14,1197.66,1197.66,1155.35,1166.71,776333333
2001-03-15,1166.71,1182.04,1166.71,1173.56,699722222
